group;comments;too much movement;Time;ID;gender;Trials;acc_go;acc_nogo;rt_go;wave;schoolstart;year;ExactAge_T1;ExactAge_T2;Con_acc_t1;InCon_acc_t1;Mix_acc_t1;MixCon_Acc_t1;MixInCon_Acc_t1;Con_CorrRTmean_t1;Incon_CorrRTmean_t1;Mix_CorrRTmean_t1;MixCon_CorrRTmean_t1;MixInCon_CorrRTmean_t1
3;;;2;1162;1;166;0.891666667;0.55;728.98;2;Jan - March 2009;2015;5.18275154;6.29705681;1;0.7;0.7;0.8;0.6;544.95;967.93;1067;1059.88;1076.5
3;;;2;1163;1;166;0.941666667;0.85;828.88;2;Jan - March 2009;2015;5.171800137;6.346338125;0.95;0.9;0.8;0.8;0.8;464.95;663.67;1090.38;1133.75;1047
3;;;2;1165;1;166;0.725;0.725;1017.91;2;Jan - March 2009;2015;5.2183436;6.187542779;1;0.8;0.65;0.8;0.5;545.15;883.63;903;813;1047
3;;;2;1166;1;166;0.991666667;0.85;757;2;Jan - March 2009;2015;5.204654346;6.332648871;0.9;1;0.9;0.9;0.9;638.83;793.4;1086.61;1021;1152.22
3;;;2;1169;1;166;0.966666667;0.8;920.6;2;Jan - March 2009;2015;5.210130048;6.19301848;0.85;0.75;0.85;1;0.7;614.35;765.27;1100.94;1130.5;1058.71
3;;;2;1171;1;166;0.958333333;0.725;846.4;2;Jan - March 2009;2015;5.492128679;6.255989049;0.95;1;0.75;0.8;0.7;569.84;749.5;1231;1191.63;1276
3;;;2;1172;1;166;0.808333333;0.9;1013.43;2;Jan - March 2009;2015;5.456536619;6.171115674;1;0.95;0.8;0.6;1;692.85;971.16;1201;1224.67;1186.8
2;few presses at T1;;2;1219;2;166;0.925;0.175;660;1;Oct - Dec 2007;2013;5.574264203;6.617385352;1;0.85;0.9;0.8;1;519.1;635.88;858.44;835.13;877.1
3;;;2;1225;2;166;0.816666667;0.375;614.62;2;Jan - March 2008 (Wave 2);2014;5.496919918;7.312799452;0.9;0.75;0.8;0.8;0.8;349;490.13;891.13;922.63;859.63
2;;T1;2;1231;2;166;0.916666667;0.675;622;1;Oct - Dec 2007;2013;5.352498289;6.40109514;0.95;1;0.85;0.9;0.8;387.58;604.95;1073.82;972.11;1188.25
2;;;2;1232;2;166;0.966666667;0.5;621;1;Oct - Dec 2007;2013;5.522245038;6.592744695;0.95;1;0.95;1;0.9;497.58;617.2;889.84;937.4;837
2;;T1;2;1233;2;166;0.991666667;0.875;918;1;Oct - Dec 2007;2013;5.431895962;6.548939083;0.95;0.85;0.9;0.9;0.9;505.53;542;820.06;819.78;820.33
3;0;T2;2;1234;2;166;0.625;0.6;608;1;Oct - Dec 2007;2014;5.434633812;6.535249829;0.9;1;0.9;0.8;1;445.17;559.05;750.22;715.13;778.3
3;0;;2;1235;2;166;0.966666667;0.675;795;1;Oct - Dec 2007;2014;5.420944559;6.532511978;0.85;0.75;0.65;0.6;0.7;624.41;789.93;1089.54;1054.67;1119.43
